3000 3 
0.034 0.545 0.456
0.83 0.951 0.822
0.726 0.832 0.638
0.021 0.859 0.571
0.972 0.051 0.853
0.016 0.069 0.759
0.668 0.728 0.696
0.675 0.463 0.55
0.406 0.891 0.169
0.399 0.976 0.738
0.688 0.63 0.536
0.056 0.285 0.459
0.833 0.348 0.041
0.349 0.27 0.94
0.648 0.79 0.628
0.939 0.058 0.657
0.334 0.647 0.095
0.855 0.322 0.934
0.746 0.887 0.432
0.657 0.599 0.572
0.992 0.279 0.581
0.162 0.365 0.698
0.787 0.019 0.126
0.797 0.898 0.389
0.191 0.065 0.141
0.974 0.612 0.985
0.725 0.203 0.276
0.761 0.405 0.238
0.16 0.657 0.158
0.875 0.332 0.967
0.982 0.445 0.177
0.622 0.062 0.53
0.19 0.831 0.22
0.169 0.759 0.672
0.996 0.803 0.46
0.354 0.1 0.338
0.02 0.256 0.257
0.159 0.267 0.246
0.708 0.462 0.885
0.244 0.61 0.063
0.126 0.143 0.541
0.885 0.12 0.802
0.145 0.24 0.098
0.64 0.368 0.912
0.963 0.353 0.505
0.08 0.043 0.716
0.777 0.939 0.371
0.265 0.122 0.206
0.737 0.099 0.468
0.727 0.847 0.245
0.926 0.048 0.059
0.855 0.499 0.259
0.768 0.564 0.51
0.508 0.851 0.672
0.779 0.182 0.804
0.372 0.488 0.741
0.339 0.012 0.024
0.707 0.472 0.124
0.783 0.01 0.641
0.136 0.023 0.238
0.859 0.063 0.18
0.337 0.12 0.042
0.668 0.864 0.763
0.422 0.497 0.152
0.227 0.665 0.286
0.928 0.061 0.603
0.138 0.165 0.203
0.74 0.357 0.687
0.683 0.912 0.802
0.896 0.926 0.639
0.483 0.932 0.886
0.721 0.156 0.929
0.535 0.527 0.442
0.063 0.296 0.201
0.398 0.617 0.858
0.586 0.197 0.522
0.5 0.101 0.198
0.21 0.07 0.674
0.098 0.69 0.429
0.767 0.916 0.969
0.039 0.615 0.845
0.114 0.667 0.107
0.006 0.245 0.789
0.564 0.229 0.979
0.377 0.926 0.979
0.653 0.901 0.495
0.635 0.663 0.098
0.496 0.973 0.982
0.727 0.744 0.978
0.279 0.738 0.334
0.1 0.698 0.009
0.578 0.923 0.682
0.98 0.434 0.976
0.264 0.589 0.06
0.966 0.785 0.436
0.927 0.001 0.408
0.569 0.286 0.656
0.826 0.491 0.902
0.139 0.609 0.912
0.769 0.078 0.239
0.395 0.46 0.769
0.249 0.658 0.018
0.073 0.849 0.419
0.122 0.399 0.979
0.324 0.021 0.974
0.361 0.856 0.407
0.496 0.978 0.94
0.899 0.285 0.686
0.449 0.717 0.844
0.257 0.218 0.796
0.988 0.26 0.013
0.91 0.483 0.446
0.301 0.636 0.078
0.274 0.94 0.765
0.796 0.258 0.304
0.341 0.041 0.489
0.505 0.321 0.378
0.032 0.553 0.068
0.359 0.377 0.668
0.897 0.673 0.282
0.748 0.653 0.338
0.402 0.284 0.52
0.967 0.617 0.369
0.095 0.858 0.497
0.628 0.325 0.161
0.955 0.486 0.918
0.195 0.656 0.431
0.536 0.516 0.74
0.666 0.65 0.275
0.72 0.408 0.236
0.073 0.941 0.781
0.897 0.938 0.951
0.836 0.812 0.322
0.514 0.212 0.576
0.783 0.208 0.219
0.911 0.717 0.916
0.385 0.834 0.868
0.9 0.681 0.297
0.745 0.296 0.697
0.297 0.673 0.245
0.908 0.373 0.216
0.851 0.021 0.892
0.924 0.228 0.202
0.957 0.297 0.568
0.012 0.585 0.278
0.723 0.996 0.487
0.594 0.382 0.439
0.953 0.483 0.986
0.537 0.512 0.99
0.436 0.2 0.869
0.212 0.433 0.658
0.233 0.111 0.998
0.989 0.16 0.412
0.771 0.952 0.588
0.643 0.805 0.457
0.623 0.456 0.623
0.86 0.286 0.43
0.806 0.442 0.78
0.039 0.172 0.275
0.484 0.915 0.233
0.451 0.785 0.038
0.436 0.797 0.176
0.166 0.791 0.197
0.726 0.607 0.19
0.083 0.074 0.401
0.093 0.086 0.587
0.03 0.762 0.031
0.676 0.343 0.964
0.379 0.403 0.809
0.972 0.347 0.689
0.556 0.815 0.938
0.471 0.873 0.436
0.107 0.867 0.557
0.192 0.505 0.695
0.708 0.728 0.944
0.001 0.651 0.948
0.306 0.746 0.914
0.459 0.036 0.68
0.621 0.822 0.608
0.005 0.656 0.741
0.266 0.506 0.111
0.445 0.701 0.504
0.606 0.927 0.872
0.692 0.799 0.202
0.791 0.476 0.874
0.319 0.771 0.017
0.837 0.487 0.445
0.243 0.431 0.528
0.389 0.205 0.883
0.057 0.043 0.743
0.054 0.781 0.757
0.742 0.21 0.575
0.498 0.266 0.362
0.71 0.538 0.312
0.781 0.203 0.981
0.771 0.3 0.176
0.696 0.902 0.315
0.343 0.383 0.941
0.329 0.91 0.347
0.54 0.178 0.225
0.848 0.974 0.005
0.023 0.217 0.284
0.294 0.319 0.02
0.852 0.083 0.893
0.397 0.364 0.442
0.774 0.77 0.514
0.159 0.469 0.64
0.452 0.124 0.58
0.403 0.591 0.842
0.917 0.991 0.181
0.064 0.729 0.04
0.88 0.619 0.051
0.179 0.341 0.627
0.068 0.331 0.588
0.757 0.836 0.3
0.677 0.485 0.921
0.744 0.816 0.401
0.357 0.178 0.199
0.316 0.98 0.875
0.148 0.118 0.352
0.253 0.688 0.122
0.138 0.1 0.397
0.874 0.193 0.731
0.996 0.799 0.004
0.989 0.665 0.91
0.452 0.999 0.041
0.885 0.698 0.139
0.752 0.483 0.969
0.414 0.09 0.921
0.439 0.108 0.855
0.523 0.603 0.163
0.589 0.355 0.369
0.11 0.61 0.186
0.561 0.831 0.143
0.048 0.353 0.322
0.58 0.028 0.707
0.317 0.058 0.159
0.046 0.013 0.543
0.732 0.57 0.232
0.063 0.649 0.733
0.341 0.677 0.911
0.54 0.817 0.623
0.473 0.949 0.824
0.93 0.659 0.529
0.472 0.746 0.301
0.708 0.725 0.475
0.05 0.002 0.535
0.402 0.129 0.33
0.805 0.658 0.168
0.115 0.735 0.864
0.019 0.896 0.41
0.253 0.3 0.94
0.428 0.375 0.166
0.107 0.662 0.765
0.58 0.837 0.349
0.239 0.809 0.186
0.279 0.146 0.001
0.095 0.538 0.151
0.892 0.052 0.102
0.015 0.944 0.792
0.781 0.71 0.498
0.295 0.551 0.565
0.921 0.768 0.345
0.821 0.435 0.404
0.231 0.057 0.424
0.389 0.588 0.694
0.47 0.216 0.235
0.798 0.334 0.576
0.221 0.672 0.953
0.931 0.632 0.337
0.258 0.091 0.625
0.489 0.866 0.532
0.18 0.406 0.095
0.838 0.062 0.819
0.609 0.786 0.36
0.951 0.826 0.347
0.129 0.438 0.398
0.433 0.783 0.012
0.333 0.927 0.026
0.172 0.357 0.867
0.654 0.286 0.056
0.099 0.703 0.656
0.697 0.032 0.312
0.946 0.741 0.673
0.463 0.952 0.008
0.232 0.666 0.043
0.734 0.097 0.917
0.666 0.867 0.039
0.035 0.1 0.331
0.903 0.954 0.469
0.051 0.826 0.867
0.621 0.281 0.42
0.83 0.901 0.713
0.213 0.886 0.856
0.2 0.958 0.733
0.873 0.331 0.663
0.3 0.678 0.698
0.797 0.792 0.172
0.625 0.298 0.303
0.495 0.553 0.755
0.314 0.894 0.178
0.48 0.331 0.783
0.944 0.498 0.796
0.347 0.996 0.925
0.892 0.998 0.666
0.564 0.822 0.238
0.868 0.975 0.778
0.152 0.498 0.58
0.84 0.251 0.5
0.857 0.841 0.41
0.126 0.215 0.72
0.246 0.242 0.643
0.821 0.402 0.567
0.923 0.352 0.992
0.434 0.289 0.981
0.246 0.49 0.384
0.49 0.272 0.712
0.449 0.969 0.152
0.804 0.299 0.561
0.333 0.47 0.228
0.856 0.414 0.911
0.173 0.41 0.353
0.609 0.392 0.69
0.723 0.84 0.178
0.425 0.74 0.661
0.634 0.82 0.127
0.024 0.135 0.384
0.699 0.139 0.302
0.838 0.845 0.734
0.901 0.889 0.328
0.477 0.915 0.941
0.254 0.236 0.72
0.984 0.299 0.364
0.519 0.114 0.485
0.824 0.923 0.523
0.894 0.599 0.378
0.883 0.155 0.667
0.462 0.241 0.37
0.906 0.372 0.445
0.731 0.785 0.533
0.994 0.29 0.856
0.946 0.518 0.022
0.503 0.898 0.213
0.7 0.624 0.32
0.567 0.625 0.412
0.524 0.727 0.628
0.347 0.597 0.792
0.422 0.026 0.822
0.598 0.068 0.154
0.542 0.214 0.183
0.64 0.799 0.732
0.607 0.733 0.859
0.044 0.519 0.803
0.592 0.312 0.888
0.678 0.905 0.818
0.559 0.551 0.916
0.716 0.977 0.834
0.433 0.365 0.24
0.548 0.63 0.04
0.31 0.546 0.649
0.995 0.715 0.898
0.853 0.123 0.152
0.554 0.408 0.592
0.722 0.279 0.078
0.916 0.078 0.876
0.842 0.286 0.821
0.541 0.916 0.005
0.996 0.637 0.375
0.626 0.707 0.957
0.15 0.23 0.367
0.928 0.102 0.403
0.229 0.73 0.172
0.622 0.67 0.095
0.363 0.351 0.228
0.848 0.61 0.777
0.475 0.094 0.432
0.534 0.308 0.367
0.968 0.315 0.22
0.656 0.409 0.893
0.558 0.941 0.29
0.421 0.339 0.306
0.59 0.036 0.326
0.962 0.027 0.301
0.186 0.458 0.325
0.98 0.621 0.782
0.731 0.449 0.738
0.419 0.896 0.927
0.557 0.482 0.094
0.836 0.006 0.465
0.167 0.194 0.972
0.681 0.339 0.331
0.127 0.566 0.207
0.063 0.76 0.81
0.657 0.127 0.082
0.867 0.194 0.312
0.585 0.414 0.358
0.568 0.091 0.343
0.341 0.573 0.94
0.625 0.407 0.119
0.201 0.003 0.348
0.064 0.861 0.113
0.088 0.072 0.899
0.449 0.76 0.061
0.499 0.647 0.946
0.861 0.331 0.569
0.069 0.686 0.102
0.27 0.473 0.104
0.58 0.972 0.425
0.36 0.762 0.895
0.014 0.201 0.867
0.227 0.313 0.752
0.16 0.645 0.079
0.581 0.556 0.855
0.727 0.424 0.054
0.089 0.358 0.497
0.244 0.96 0.076
0.455 0.086 0.411
0.413 0.602 0.645
0.569 0.666 0.28
0.102 0.146 0.259
0.636 0.384 0.006
0.327 0.699 0.729
0.931 0.516 0.687
0.606 0.275 0.858
0.747 0.669 0.164
0.002 0.401 0.663
0.613 0.734 0.637
0.517 0.062 0.477
0.72 0.887 0.327
0.105 0.664 0.876
0.139 0.592 0.253
0.985 0.671 0.131
0.79 0.258 0.029
0.645 0.275 0.902
0.093 0.167 0.732
0.483 0.717 0.07
0.952 0.289 0.471
0.278 0.369 0.081
0.624 0.108 0.95
0.421 0.165 0.65
0.675 0.486 0.658
0.346 0.657 0.514
0.002 0.524 0.728
0.71 0.499 0.605
0.613 0.779 0.454
0.768 0.524 0.678
0.335 0.38 0.618
0.952 0.211 0.157
0.326 0.63 0.403
0.328 0.65 0.841
0.056 0.61 0.799
0.482 0.473 0.703
0.578 0.545 0.594
0.933 0.944 0.879
0.105 0.84 0.135
0.842 0.292 0.508
0.996 0.851 0.722
0.378 0.708 0.698
0.919 0.372 0.593
0.149 0.456 0.382
0.008 0.254 0.182
0.735 0.678 0.144
0.759 0.411 0.404
0.603 0.344 0.669
0.545 0.127 0.51
0.035 0.186 0.132
0.947 0.429 0.603
0.115 0.508 0.95
0.427 0.665 0.493
0.061 0.702 0.2
0.303 0.732 0.96
0.067 0.397 0.684
0.34 0.963 0.152
0.789 0.174 0.742
0.979 0.404 0.465
0.51 0.769 0.566
0.234 0.586 0.182
0.846 0.141 0.754
0.633 0.464 0.356
0.516 0.147 0.516
0.329 0.884 0.667
0.42 0.42 0.337
0.494 0.838 0.593
0.401 0.352 0.607
0.268 0.391 0.085
0.683 0.249 0.438
0.658 0.148 0.352
0.61 0.765 0.605
0.012 0.873 0.684
0.849 0.708 0.919
0.218 0.659 0.652
0.396 0.921 0.581
0.914 0.276 0.884
0.262 0.886 0.635
0.948 0.186 0.852
0.176 0.744 0.845
0.092 0.714 0.351
0.149 0.859 0.66
0.046 0.641 0.776
0.336 0.391 0.703
0.96 0.914 0.599
0.318 0.633 0.742
0.454 0.855 0.11
0.213 0.558 0.707
0.276 0.891 0.372
0.492 0.73 0.145
0.544 0.887 0.781
0.281 0.675 0.057
0.226 0.177 0.36
0.572 0.538 0.436
0.923 0.128 0.065
0.137 0.541 0.511
0.592 0.647 0.081
0.266 0.636 0.47
0.881 0.958 0.748
0.282 0.463 0.77
0.552 0.627 0.289
0.345 0.918 0.52
0.254 0.173 0.249
0.039 0.446 0.165
0.449 0.673 0.645
0.955 0.96 0.869
0.244 0.835 0.715
0.625 0.908 0.072
0.004 0.05 0.626
0.57 0.033 0.222
0.543 0.983 0.153
0.334 0.646 0.201
0.842 0.83 0.685
0.222 0.411 0.656
0.149 0.451 0.648
0.124 0.859 0.43
0.838 0.787 0.967
0.756 0.335 0.385
0.663 0.724 0.733
0.051 0.283 0.593
0.371 0.97 0.234
0.233 0.125 0.465
0.37 0.048 0.944
0.005 0.427 0.798
0.949 0.923 0.056
0.374 0.646 0.057
0.209 0.515 0.175
0.266 0.608 0.238
0.516 0.145 0.25
0.091 0.205 0.424
0.333 0.517 0.055
0.621 0.043 0.116
0.338 0.245 0.116
0.537 0.498 0.957
0.034 0.09 0.643
0.2 0.131 0.069
0.215 0.823 0.852
0.181 0.381 0.22
0.852 0.369 0.806
0.266 0.224 0.153
0.193 0.005 0.525
0.778 0.724 0.107
0.267 0.489 0.894
0.18 0.584 0.138
0.19 0.681 0.559
0.267 0.545 0.919
0.839 0.007 0.547
0.843 0.577 0.679
0.325 0.836 0.463
0.9 0.298 0.551
0.62 0.73 0.027
0.851 0.323 0.452
0.34 0.842 0.625
0.867 0.193 0.99
0.237 0.016 0.676
0.493 0.805 0.147
0.583 0.296 0.186
0.478 0.622 0.01
0.442 0.693 0.761
0.304 0.428 0.639
0.052 0.827 0.851
0.902 0.255 0.448
0.484 0.605 0.272
0.764 0.91 0.522
0.468 0.656 0.154
0.391 0.192 0.327
0.503 0.524 0.166
0.628 0.146 0.769
0.06 0.153 0.624
0.26 0.201 0.164
0.551 0.09 0.987
0.845 0.103 0.821
0.009 0.405 0.741
0.785 0.345 0.862
0.906 0.869 0.092
0.047 0.712 0.032
0.181 0.544 0.932
0.623 0.089 0.245
0.134 0.945 0.995
0.164 0.862 0.77
0.066 0.705 0.803
0.288 0.185 0.634
0.855 0.087 0.374
0.271 0.511 0.042
0.483 0.706 0.69
0.696 0.831 0.018
0.894 0.294 0.727
0.324 0.215 0.957
0.252 0.945 0.059
0.435 0.287 0.453
0.612 0.183 0.588
0.64 0.359 0.658
0.717 0.551 0.316
0.614 0.076 0.266
0.292 0.064 0.607
0 0.273 0.65
0.802 0.656 0.918
0.514 0.839 0.703
0.181 0.139 0.969
0.739 0.269 0.15
0.032 0.534 0.382
0.041 0.131 0.156
0.981 0.183 0.863
0.341 0.023 0.894
0.99 0.923 0.555
0.246 0.24 0.481
0.682 0.438 0.06
0.941 0.038 0.557
0.351 0.698 0.792
0.756 0.236 0.306
0.46 0.733 0.677
0.657 0.156 0.81
0.888 0.051 0.825
0.719 0.81 0.999
0.649 0.005 0.535
0.437 0.448 0.437
0.647 0.447 0.845
0.348 0.198 0.688
0.042 0.639 0.109
0.559 0.573 0.672
0.724 0.509 0.398
0.263 0.211 0.79
0.657 0.254 0.297
0.683 0.909 0.454
0.214 0.825 0.506
0.569 0.283 0.102
0.599 0.968 0.063
0.809 0.227 0.546
0.362 0.342 0.593
0.525 0.583 0.318
0.355 0.967 0.461
0.305 0.4 0.006
0.059 0.532 0.273
0.342 0.541 0.5
0.707 0.951 0.641
0.128 0.374 0.261
0.129 0.99 0.481
0.221 0.414 0.886
0.967 0.934 0.418
0.821 0.8 0.412
0.122 0.601 0.698
0.374 0.866 0.743
0.682 0.45 0.022
0.787 0.886 0.606
0.142 0.132 0.636
0.351 0.266 0.19
0.812 0.879 0.978
0.238 0.103 0.23
0.963 0.317 0.162
0.491 0.566 0.061
0.043 0.931 0.785
0.506 0.735 0.646
0.867 0.985 0.613
0.458 0.978 0.238
0.54 0.57 0.254
0.688 0.745 0.559
0.19 0.879 0.831
0.571 0.772 0.686
0.567 0.041 0.433
0.815 0.777 0.775
0.51 0.232 0.337
0.355 0.507 0.429
0.328 0.207 0.977
0.035 0.345 0.205
0.36 0.268 0.555
0.79 0.236 0.651
0.901 0.844 0.667
0.574 0.369 0.441
0.869 0.9 0.443
0.957 0.794 0.777
0.222 0.872 0.158
0.707 0.558 0.536
0.044 0.123 0.425
0.217 0.271 0.83
0.113 0.035 0.228
0.186 0.879 0.527
0.561 0.058 0.381
0.633 0.794 0.571
0.889 0.702 0.021
0.773 0.399 0.799
0.983 0.985 0.482
0.831 0.574 0.504
0.669 0.668 0.836
0.466 0.774 0.572
0.5 0.322 0.453
0.34 0.748 0.606
0.449 0.405 0.918
0.293 0.149 0.734
0.718 0.514 0.59
0.658 0.974 0.697
0.227 0.06 0.521
0.031 0.271 0.998
0.927 0.893 0.103
0.533 0.879 0.891
0.039 0.533 0.264
0.548 0.164 0.139
0.576 0.115 0.993
0.921 0.872 0.142
0.095 0.85 0.544
0.024 0.576 0.028
0.053 0.094 0.621
0.894 0.199 0.128
0.356 0.801 0.665
0.706 0.196 0.123
0.921 0.561 0.445
0.971 0.699 0.682
0.144 0.753 0.807
0.454 0.95 0.345
0.998 0.112 0.961
0.385 0.913 0.825
0.056 0.131 0.159
0.045 0.496 0.854
0.885 0.174 0.675
0.019 0.648 0.277
0.935 0.341 0.951
0.826 0.619 0.415
0.223 0.233 0.846
0.975 0.511 0.343
0.817 0.024 0.55
0.714 0.86 0.45
0.184 0.291 0.101
0.509 0.885 0.542
0.961 0.457 0.056
0.709 0.961 0.163
0.084 0.099 0.182
0.809 0.535 0.837
0.888 0.867 0.35
0.584 0.558 0.95
0.712 0.399 0.702
0.256 0.775 0.924
0.275 0.603 0.243
0.169 0.811 0.703
0.954 0.039 0.578
0.097 0.561 0.58
0.278 0.371 0.531
0.607 0.352 0.487
0.863 0.863 0.761
0.082 0.448 0.576
0.754 0.755 0.367
0.453 0.686 0.085
0.6 0.25 0.404
0.27 0.731 0.348
0.745 0.704 0.234
0.809 0.154 0.723
0.689 0.928 0.509
0.806 0.567 0.796
0.581 0.062 0.295
0.854 0.045 0.102
0.515 0.431 0.847
0.999 0.794 0.062
0.405 0.139 0.988
0.922 0.029 0.511
0.585 0.913 0.711
0.82 0.235 0.394
0.997 0.525 0.685
0.134 0.58 0.043
0.682 0.812 0.107
0.273 0.325 0.421
0.692 0.417 0.549
0.697 0.116 0.886
0.231 0.108 0.809
0.16 0.951 0.497
0.637 0.312 0.818
0.444 0.897 0.942
0.906 0.202 0.816
0.429 0.161 0.905
0.769 0.603 0.565
0.692 0.007 0.197
0.062 0.168 0.167
0.343 0.084 0.151
0.845 0.63 0.783
0.221 0.112 0.14
0.466 0.559 0.11
0.09 0.764 0.175
0.811 0.799 0.429
0.321 0.525 0.158
0.733 0.505 0.283
0.568 0.139 0.684
0.712 0.089 0.186
0.386 0.325 0.239
0.514 0.077 0.796
0.658 0.092 0.834
0.899 0.051 0.789
0.163 0.361 0.817
0.919 0.341 0.534
0.253 0.344 0.37
0.19 0.244 0.774
0.504 0.509 0.134
0.053 0.884 0.553
0.559 0.39 0.6
0.238 0.096 0.292
0.21 0.353 0.901
0.904 0.515 0.631
0.221 0.687 0.125
0.537 0.458 0.405
0.608 0.45 0.218
0.932 0.48 0.065
0.416 0.662 0.887
0.621 0.034 0.942
0.817 0.059 0.509
0.358 0.439 0.431
0.18 0.313 0.957
0.702 0.541 0.57
0.795 0.448 0.268
0.981 0.34 0.181
0.755 0.857 0.491
0.548 0.487 0.881
0.612 0.916 0.642
0.961 0.634 0.17
0.478 0.742 0.194
0.953 0.51 0.484
0.929 0.519 0.597
0.983 0.265 0.581
0.005 0.492 0.272
0.229 0.562 0.923
0.35 0.054 0.195
0.592 0.843 0.449
0.349 0.839 0.657
0.982 0.18 0.802
0.072 0.352 0.931
0.56 0.16 0.487
0.651 0.133 0.032
0.253 0.024 0.909
0.896 0.712 0.195
0.937 0.709 0.324
0.025 0.272 0.483
0.144 0.789 0.723
0.581 0.709 0.276
0.554 0.884 0.282
0.549 0.866 0.616
0.847 0.232 0.58
0.142 0.586 0.95
0.878 0.696 0.991
0.521 0.957 0.052
0.154 0.507 0.476
0.549 0.185 0.281
0.985 0.601 0.625
0.395 0.168 0.665
0.436 0.392 0.445
0.034 0.763 0.367
0.505 0.396 0.892
0.952 0.355 0.062
0.655 0.778 0.136
0.195 0.985 0.149
0.944 0.079 0.985
0.528 0.543 0.361
0.211 0.659 0.105
0.885 0.481 0.611
0.137 0.103 0.223
0.467 0.826 0.053
0.52 0.965 0.956
0.045 0.414 0.024
0.924 0.113 0.134
0.755 0.917 0.177
0.952 0.007 0.224
0.735 0.769 0.712
0.004 0.704 0.094
0.334 0.323 0.899
0.403 0.687 0.78
0.647 0.862 0.629
0.766 0.126 0.261
0.471 0.828 0.924
0.428 0.228 0.533
0.322 0.648 0.911
0.447 0.477 0.994
0.245 0.495 0.523
0.683 0.592 0.489
0.421 0.691 0.21
0.289 0.559 0.86
0.83 0.009 0.967
0.715 0.1 0.796
0.051 0.756 0.614
0.53 0.56 0.103
0.455 0.952 0.758
0.707 0.217 0.355
0.854 0.444 0.352
0.825 0.232 0.196
0.93 0.331 0.356
0.556 0.14 0.977
0.894 0.174 0.002
0.18 0.831 0.071
0.257 0.943 0.785
0.187 0.322 0.76
0.681 0.496 0.575
0.514 0.991 0.754
0.07 0.639 0.736
0.156 0.353 0.462
0.321 0.649 0.82
0.288 0.07 0.178
0.437 0.869 0.321
0.263 0.811 0.348
0.202 0.011 0.563
0.062 0.353 0.605
0.654 0.986 0.577
0.882 0.845 0.617
0.232 0.677 0.623
0.604 0.038 0.244
0.159 0.557 0.384
0.246 0.849 0.319
0.694 0.483 0.058
0.116 0.059 0.281
0.566 0.219 0.748
0.727 0.743 0.812
0.275 0.323 0.656
0.001 0.732 0.813
0.203 0.996 0.473
0.039 0.01 0.318
0.7 0.355 0.07
0.111 0.686 0.062
0.164 0.515 0.269
0.949 0.953 0.414
0.829 0.66 0.525
0.301 0.856 0.17
0.407 0.381 0.135
0.447 0.364 0.909
0.961 0.428 0.619
0.125 0.924 0.809
0.509 0.765 0.589
0.778 0.497 0.604
0.824 0.984 0.105
0.163 0.63 0.184
0.83 0.078 0.25
0.137 0.017 0.421
0.507 0.965 0.249
0.643 0.265 0.691
0.94 0.558 0.432
0.865 0.647 0.259
0.208 0.096 0.585
0.079 0.439 0.267
0.853 0.334 0.056
0.868 0.425 0.079
0.035 0.616 0.918
0.621 0.514 0.22
0.221 0.165 0.726
0.527 0.202 0.458
0.384 0.586 0.842
0.244 0.298 0.616
0.167 0.113 0.082
0.732 0.846 0.008
0.838 0.033 0.627
0.023 0.556 0.913
0.233 0.38 0.932
0.482 0.655 0.813
0.766 0.176 0.928
0.033 0.138 0.901
0.09 0.78 0.115
0.298 0.67 0.5
0.276 0.649 0.241
0.194 0.485 0.439
0.109 0.179 0.381
0.029 0.551 0.736
0.592 0.241 0.956
0.165 0.997 0.537
0.82 0.955 0.439
0.489 0.469 0.76
0.435 0.752 0.437
0.324 0.663 0.619
0.098 0.36 0.519
0.095 0.541 0.924
0.317 0.699 0.156
0.681 0.684 0.727
0.678 0.897 0.459
0.926 0.964 0.045
0.509 0.465 0.166
0.258 0.151 0.58
0.071 0.396 0.784
0.13 0.529 0.536
0.544 0.658 0.368
0.716 0.142 0.433
0.115 0.494 0.182
0.729 0.898 0.644
0.454 0.403 0.383
0.968 0.674 0.238
0.221 0.728 0.714
0.514 0.748 0.228
0.251 0.831 0.172
0.206 0.031 0.813
0.764 0.056 0.583
0.718 0.465 0.076
0.863 0.438 0.238
0.879 0.55 0.129
0.917 0.935 0.352
0.421 0.281 0.291
0.632 0.424 0.766
0.917 0.85 0.589
0.451 0.37 0.564
0.435 0.589 0.214
0.42 0.458 0.316
0.311 0.393 0.04
0.292 0.85 0.373
0.657 0.646 0.836
0.203 0.097 0.015
0.739 0.92 0.47
0.585 0.323 0.659
0.515 0.904 0.051
0.726 0.424 0.441
0.663 0.395 0.173
0.721 0.459 0.16
0.04 0.481 0.171
0.578 0.055 0.285
0.24 0.163 0.272
0.602 0.192 0.055
0.566 0.545 0.839
0.963 0.422 0.806
0.443 0.082 0.146
0.833 0.184 0.946
0.531 0.624 0.223
0.457 0.616 0.854
0.442 0.193 0.751
0.738 0.211 0.264
0.963 0.475 0.675
0.868 0.579 0.998
0.086 0.995 0.338
0.444 0.298 0.723
0.236 0.306 0.677
0.117 0.054 0.373
0.662 0.575 0.326
0.227 0.564 0.81
0.107 0.896 0.852
0.523 0.896 0.026
0.8 0.882 0.806
0.597 0.521 0.034
0.403 0.146 0.176
0.832 0.693 0.861
0.469 0.115 0.568
0.061 0.016 0.672
0.411 0.725 0.83
0.681 0.541 0.711
0.894 0.779 0.433
0.118 0.76 0.415
0.771 0.139 0.919
0.217 0.98 0.364
0.42 0.454 0.731
0.54 0.13 0.366
0.995 0.191 0.609
0.499 0.689 0.331
0.724 0.509 0.131
0.012 0.477 0.108
0.78 0.377 0.799
0.437 0.186 0.039
0.927 0.687 0.598
0.917 0.122 0.2
0.425 0.258 0.465
0.666 0.209 0.673
0.826 0.951 0.901
0.388 0.423 0.722
0.638 0.446 0.587
0.505 0.981 0.196
0.406 0.02 0.734
0.702 0.1 0.906
0.819 0.23 0.178
0.222 0.839 0.382
0.422 0.465 0.046
0.558 0.738 0.492
0.322 0.369 0.26
0.059 0.498 0.942
0.963 0.351 0.291
0.57 0.513 0.076
0.822 0.715 0.224
0.75 0.739 0.436
0.238 0.191 0.22
0.215 0.362 0.002
0.589 0.554 0.908
0.514 0.956 0.255
0.563 0.495 0.421
0.175 0.893 0.432
0.778 0.869 0.151
0.555 0.176 0.53
0.354 0.854 0.135
0.615 0.678 0.379
0.134 0.953 0.021
0.215 0.661 0.113
0.491 0.506 0.683
0.134 0.828 0.065
0.685 0.995 0.632
0.435 0.13 0.757
0.094 0.514 0.46
0.246 0.875 0.947
0.309 0.831 0.164
0.274 0.8 0.434
0.515 0.192 0.594
0.754 0.539 0.251
0.979 0.633 0.707
0.631 0.621 0.397
0.251 0.569 0.114
0.613 0.668 0.574
0.821 0.595 0.347
0.8 0.096 0.087
0.31 0.823 0.971
0.545 0.992 0.687
0.125 0.052 0.263
0.969 0.752 0.634
0.57 0.711 0.064
0.865 0.659 0.181
0.649 0.044 0.469
0.062 0.91 0.482
0.644 0.845 0.002
0.606 0.989 0.207
0.551 0.09 0.215
0.76 0.972 0.122
0.856 0.26 0.232
0.022 0.054 0.679
0.87 0.096 0.079
0.816 0.776 0.373
0.096 0.023 0.654
0.514 0.659 0.066
0.642 0.887 0.098
0.356 0.329 0.876
0.189 0.085 0.06
0.496 0.658 0.802
0.714 0.785 0.724
0.754 0.73 0.01
0.456 0.561 0.295
0.543 0.35 0.142
0.824 0.24 0.135
0.781 0.278 0.46
0.755 0.549 0.945
0.609 0.662 0.083
0.963 0.447 0.602
0.978 0.343 0.281
0.671 0.879 0.665
0.934 0.626 0.741
0.46 0.986 0.149
0.133 0.028 0.522
0.37 0.946 0.599
0.862 0.615 0.729
0.006 0.211 0.499
0.155 0.912 0.497
0.587 0.59 0.637
0.462 0.945 0.027
0.705 0.081 0.528
0.046 0.862 0.557
0.928 0.916 0.067
0.466 0.708 0.978
0.392 0.841 0.28
0.895 0.217 0.851
0.741 0.743 0.394
0.23 0.987 0.731
0.893 0.38 0.553
0.457 0.74 0.996
0.15 0.994 0.447
0.285 0.733 0.451
0.835 0.603 0.813
0.446 0.477 0.438
0.152 0.123 0.461
0.022 0.348 0.609
0.148 0.194 0.014
0.662 0.777 0.566
0.964 0.603 0.362
0.342 0.798 0.503
